"","team","passer","time","mins","secs","x.start","y.start","x.end","y.end","outcome","assist","key","headed","throw","receiver"
"361","Liverpool","Joseph Gomez",1739,28,59,58.9,7,69.2,3.2,"completed","0","0","0","0","Tommy Smith"
"362","Liverpool","Jordan Henderson",1745,29,5,63.1,58.4,100,69.7,"failed","0","0","0","0","Laurent Depoitre"
"363","Liverpool","Mohamed Salah",1764,29,24,68.7,27.1,60,35.4,"completed","0","0","0","0","Joel Matip"
"364","Liverpool","Joel Matip",1775,29,35,60,35.4,65,57.6,"completed","0","0","0","0","Jordan Henderson"
"365","Hudd Town","Laurent Depoitre",1781,29,41,70.4,4.1,93.1,0,"failed","0","0","1","0","Mohamed Salah"
"366","Liverpool","Ragnar Klavan",1790,29,50,4.2,100,5.5,69.4,"completed","0","0","0","1","Simon Mignolet"
"367","Liverpool","Simon Mignolet",1792,29,52,5.6,68.2,16.8,39.2,"completed","0","0","0","0","Joseph Gomez"
"368","Liverpool","Joseph Gomez",1796,29,56,27.7,27.7,41.6,3.5,"completed","0","0","0","0","Joseph Gomez"
"369","Liverpool","Jordan Henderson",1797,29,57,65,60.5,66.5,85.1,"completed","0","0","0","0","Alberto Moreno"
"370","Liverpool","Alberto Moreno",1799,29,59,66.5,85.1,61.7,63.4,"completed","0","0","0","0","Ragnar Klavan"
"371","Liverpool","Mohamed Salah",1802,30,2,41.6,3.5,61.1,8.5,"failed","0","0","0","0","Daniel Sturridge"
"372","Liverpool","Jordan Henderson",1805,30,5,41.1,40,44.1,70.6,"completed","0","0","0","0","Ragnar Klavan"
"373","Liverpool","Ragnar Klavan",1807,30,7,46.2,74.1,57,95.9,"completed","0","0","0","0","Alberto Moreno"
"374","Liverpool","Alberto Moreno",1808,30,8,57,95.9,45.5,78.2,"completed","0","0","0","0","Ragnar Klavan"
"375","Liverpool","Ragnar Klavan",1811,30,11,45.6,72.1,50.5,47.6,"completed","0","0","0","0","Jordan Henderson"
"376","Liverpool","Jordan Henderson",1815,30,15,50.5,47.6,58.8,63.7,"completed","0","0","0","0","James Milner"
"377","Liverpool","James Milner",1817,30,17,58.8,63.7,47.1,53.1,"completed","0","0","0","0","Joel Matip"
"378","Liverpool","Joel Matip",1819,30,19,47.1,53.1,56.5,70.2,"completed","0","0","0","0","Ragnar Klavan"
"379","Liverpool","Ragnar Klavan",1823,30,23,59.2,68.2,54.2,56,"completed","0","0","0","0","Joel Matip"
"380","Liverpool","Joel Matip",1826,30,26,53.3,56.7,60.9,34,"completed","0","0","0","0","Jordan Henderson"
"381","Liverpool","Jordan Henderson",1828,30,28,60.9,34,71.6,27.3,"completed","0","0","0","0","Alberto Moreno"
"382","Liverpool","Daniel Sturridge",1832,30,32,70.8,42.2,85.8,71.2,"failed","0","0","0","0","Daniel Sturridge"
"383","Liverpool","Alberto Moreno",1847,30,47,64.4,100,44.1,83.9,"completed","0","0","0","1","Ragnar Klavan"
"384","Liverpool","Ragnar Klavan",1849,30,49,44.2,80.6,53.9,40.3,"completed","0","0","0","0","Joseph Gomez"
"385","Liverpool","Joseph Gomez",1854,30,54,58.4,33.9,91.2,9.4,"completed","0","0","0","0","Joseph Gomez"
"386","Liverpool","Joseph Gomez",1857,30,57,42.9,17.4,44.5,24.4,"completed","0","0","0","0","Jordan Henderson"
"387","Liverpool","Jordan Henderson",1859,30,59,44.9,25,34.6,31.5,"completed","0","0","0","0","Joel Matip"
"388","Liverpool","Joel Matip",1860,30,60,34.6,31.5,36.6,33.4,"completed","0","0","0","0","Jordan Henderson"
"389","Liverpool","Joseph Gomez",1866,31,6,86.5,0,66.1,5.2,"completed","0","0","0","1","Joel Matip"
"390","Liverpool","Joel Matip",1869,31,9,63.2,9.8,57.6,34.3,"completed","0","0","0","0","Ragnar Klavan"
"391","Liverpool","Ragnar Klavan",1870,31,10,57.6,34.3,60,41,"completed","0","0","0","0","Jordan Henderson"
"392","Liverpool","Jordan Henderson",1871,31,11,58.9,40.3,65.1,21.5,"completed","0","0","0","0","James Milner"
"393","Liverpool","James Milner",1875,31,15,65.1,21.5,70.5,26.5,"completed","0","0","0","0","Jordan Henderson"
"394","Liverpool","Jordan Henderson",1876,31,16,69.8,25.8,66.2,8.2,"completed","0","0","0","0","Joseph Gomez"
"395","Liverpool","Joseph Gomez",1879,31,19,66.2,8.2,60.3,37.1,"completed","0","0","0","0","Joel Matip"
"396","Liverpool","Joel Matip",1885,31,25,71.6,33.4,65.5,21.2,"completed","0","0","0","0","Joseph Gomez"
"397","Liverpool","Joseph Gomez",1887,31,27,65.4,23.1,62,37,"completed","0","0","0","0","James Milner"
"398","Liverpool","James Milner",1890,31,30,62.9,40.6,66.8,89.6,"completed","0","0","0","0","Alberto Moreno"
"399","Liverpool","Alberto Moreno",1893,31,33,68.5,88.7,59.5,71.2,"completed","0","0","0","0","Ragnar Klavan"
"400","Liverpool","Daniel Sturridge",1895,31,35,91.7,5.8,88.1,3.5,"failed","0","0","0","0","Joseph Gomez"
"401","Liverpool","Ragnar Klavan",1896,31,36,59.5,71.2,65.4,49.9,"completed","0","0","0","0","Jordan Henderson"
"402","Liverpool","Jordan Henderson",1902,31,42,63.1,49.3,63.1,21.6,"completed","0","0","0","0","Jonas Lössl"
"403","Liverpool","Joseph Gomez",1905,31,45,63.1,21.6,79.1,30.3,"failed","0","0","0","0","Laurent Depoitre"
"404","Hudd Town","Laurent Depoitre",1925,32,5,69.5,29.7,77.2,40,"failed","0","0","1","0","Georginio Wijnaldum"
"405","Liverpool","Joel Matip",1928,32,8,25.5,54.9,33.8,33.4,"completed","0","0","0","0","Joseph Gomez"
"406","Liverpool","Joseph Gomez",1931,32,11,35.8,31.3,62.5,27.3,"completed","0","0","0","0","Jordan Henderson"
"407","Liverpool","Jordan Henderson",1939,32,19,56.5,47.3,63.6,75.4,"completed","0","0","0","0","Alberto Moreno"
"408","Liverpool","Alberto Moreno",1942,32,22,68.8,75.9,66.5,59.1,"completed","0","0","0","0","Jordan Henderson"
"409","Liverpool","Jordan Henderson",1945,32,25,65.1,52.5,67.4,30.9,"completed","0","0","0","0","Joseph Gomez"
